Index,Annual Event #,Metric Interval Event #,Start,Finish,Component Type,Object Name,Inducing Object,Protective Device,Desired Fault type,Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
557,194,194,2000-07-02 18:04:00,2000-07-02 18:06:00,overhead_line,20341,RandEvent,F7508,TLG,TLG,30,0,-102.764644393 32.9938209673,node62474211556T62474211583 node62463018993T62463018961 node62462059675T62463000610 node62474182499T62474182459 node62463019285T62463019253 node62462229319T62462228465 node62463000855T62463000829 node62462161131T62462161089 node62462057863T62462058873 node62463188901T62463187888 node62463134548T62463134578 node62474203443T62474203356 node62463185287T62463186324 node62462226602T62462226538 node62462057439T62462057478 node62462058744T62462058764 node62463014628T62463014734 node62462223811T62462223734 node62474202046T62463022999 node62463189387T62463189482 node62463027798T62463027880 node62463139865T62463139950 node62474211335T62474211356 node62463019437T62463019414 node62463024800T62463023775 node62473239194T62474180122 node62463124065T62463124087 node62473238040T62473238073 node62463128092T62463188978 node62462231529T62462231545,bird
558,195,195,2000-07-02 19:31:00,2000-07-02 19:33:00,overhead_line,19776,RandEvent,F6171,TLG,TLG,17,0,-102.762685784 32.9927723531,node62463020936T62463020868 node62474181623T62474181695 node62463000855T62463000829 node62463186398T62463185453 node62463132895T62463133818 node62462168493T62462169442 node62474202650T62474202681 node62474204552T62474204575 node62474211060T62463031930 node62462059793T62462059787 node62474195268T62474196213 node62474197221T62474197215 node62474212215T62474212237 node62463001804T62463001814 node62463027798T62463027880 node62474202555T62474202581 node62463001627T62463000688,bird
559,196,196,2000-07-02 21:02:00,2000-07-02 21:04:00,overhead_line,16237,RandEvent,F7508,TLG,SLG-A,16,0,-102.760431733 32.9874474383,node62474144036T62474204979 node62462231414T62462230473 node62463026977T62463026955 node62463002869T62463003904 node62463027895T62463028953 node62462223811T62462223734 node62463000348T62463000400 node62463000855T62463000829 node62463019285T62463019253 node62474211335T62474211356 node62462232961T62462233819 node62463133761T62463133761 node62474203871T62474203769 node62463188901T62463187888 node62463019437T62463019414 node62462227630T62462227535,bird
560,197,197,2000-07-02 22:58:00,2000-07-02 23:00:00,overhead_line,17038,RandEvent,F6171,TLG,TLG,17,0,-102.759183254 32.9885270587,node62474181335T62474180389 node62463020586T62463020670 node62462229732T62462229741 node62463019768T62463020860 node62474182499T62474182459 node62462172359T62462172379 node62474207056T62474207085 node62474204371T62474204354 node62463027798T62463027880 node62463021167T62463021200 node62463016251T62463016201 node62462226602T62462226538 node62462091125T62462091135 node62462173273T62462173272 node62463074197T62463074165 node62474181058T62474181036 node62463024800T62463023775,bird
561,198,198,2000-07-03 04:49:00,2000-07-03 04:51:00,overhead_line,16797,RandEvent,F7167,TLG,TLG,24,0,-102.757979079 32.9881199135,node62462219692T62462220516 node62462236984T62462236981 node62462166430T62462166454 node62463185287T62463186324 node62463133761T62463133761 node62462057863T62462058873 node62474202147T62474202166 node62463021167T62463021200 node62473238040T62473238073 node62473238221T62473238126 node62462091125T62462091135 node62463026977T62463026955 node62474211335T62474211356 node62462172359T62462172379 node62474195151T62474196103 node62462231414T62462230473 node62474195268T62474196213 node62474207119T62474207223 node62463075332T62463075357 node62463193561T62463193504 node62463000855T62463000829 node62474144036T62474204979 node62463016405T62463015557 node62463014628T62463014734,bird
562,199,199,2000-07-03 04:51:00,2000-07-03 04:53:00,overhead_line,19597,RandEvent,F7508,TLG,SLG-A,16,0,-102.763280314 32.9926922316,node62474215045T62474214083 node62474202046T62463022999 node62463072245T62463072330 node62474208819T62474208904 node62463130850T62463130794 node62474202555T62474202581 node62474209432T62474209464 node62463024844T62463025910 node62462225969T62462166024 node62463132895T62463133818 node62462057655T62462057695 node62463139865T62463139950 node62462058558T62462057585 node62463134548T62463134578 node62462059308T62462058491 node62463017349T62463017451,bird
563,200,200,2000-07-04 12:58:00,2000-07-04 13:00:00,overhead_line,17563,RandEvent,F7508,TLG,SLG-A,16,0,-102.760078782 32.9894074761,node62474201080T62463022938 node62462170679T62462170743 node62463028401T62463028430 node62474211335T62474211356 node62462232961T62462233819 node62463079175T62463079127 node62462221747T62462222618 node62463123162T62463123126 node62474180317T62474180356 node62463027798T62463027880 node62462157141T62462156117 node62474215045T62474214083 node62463012543T62463012540 node62474202953T62474202989 node62474207930T62474207936 node62474213353T62474213347,bird
564,201,201,2000-07-04 16:04:00,2000-07-04 16:06:00,overhead_line,19658,RandEvent,F6171,TLG,SLG-C,7,0,-102.763600652 32.9930503791,node62463074197T62463074165 node62463001804T62463001814 node62463074798T62463074775 node62463134548T62463134578 node62463018228T62463018249 node62474202650T62474202681 node62463019498T62463019467,bird
565,202,202,2000-07-04 21:13:00,2000-07-04 21:15:00,overhead_line,19658,RandEvent,R1202,TLG,SLG-B,5,0,-102.763600652 32.9930503791,node62463020586T62463020670 node62474203443T62474203356 node62463190694T62463190598 node62474205692T62474206624 node62462169487T62462169469,bird
566,203,203,2000-07-05 05:53:00,2000-07-05 05:55:00,overhead_line,17563,RandEvent,F6171,TLG,TLG,17,0,-102.760078782 32.9894074761,node62463133009T62463132037 node62474208819T62474208904 node62463025237T62463024257 node62463075332T62463075357 node62463128092T62463188978 node62462058744T62462058764 node62474206706T62474206724 node62474205151T62474205022 node62462235664T62462235631 node62462057439T62462057478 node62462163909T62462162948 node62463027895T62463028953 node62463022298T62463022289 node62462223811T62462223734 node62474202555T62474202581 node62474204748T62474204749 node62462057863T62462058873,bird
567,204,204,2000-07-06 02:45:00,2000-07-06 02:47:00,overhead_line,17380,RandEvent,F7516,TLG,SLG-B,1,0,-102.758580303 32.9890917863,node62474202046T62463022999,bird
568,205,205,2000-07-06 05:03:00,2000-07-06 05:05:00,overhead_line,19095,RandEvent,F6171,TLG,SLG-C,7,0,-102.759229455 32.991675455,node62462166430T62462166454 node62463013707T62463013737 node62474207489T62474207437 node62462235664T62462235631 node62462174083T62462174081 node62474205692T62474206624 node62462057863T62462058873,bird
569,206,206,2000-07-06 18:07:00,2000-07-06 18:09:00,overhead_line,20781,RandEvent,F7508,TLG,TLG,30,0,-102.764326373 32.9947665258,node62463139865T62463139950 node62473238221T62473238126 node62474181379T62474181443 node62462178343T62462178321 node62474207119T62474207223 node62462059675T62463000610 node62463000855T62463000829 node62474197221T62474197215 node62462170679T62462170743 node62462057439T62462057478 node62474202679T62474202791 node62462225428T62462224580 node62463016539T62463016634 node62463121169T62463121197 node62463075194T62463075133 node62463028720T62463028740 node62474204371T62474204354 node62462059308T62462058491 node62474208243T62474208138 node62474202354T62474202362 node62462168810T62462168870 node62463189387T62463189482 node62474195011T62474196023 node62463017062T62463017045 node62463133906T62463072031 node62462157141T62462156117 node62463024844T62463025910 node62463022720T62463022676 node62462221928T62462221998 node62463030909T62474210056,bird
570,207,207,2000-07-06 21:55:00,2000-07-06 21:57:00,overhead_line,19589,RandEvent,F7167,TLG,TLG,24,0,-102.762294897 32.9924070778,node62463185287T62463186324 node62463130850T62463130794 node62474182629T62474182678 node62463001627T62463000688 node62474201080T62463022938 node62474203572T62474203566 node62462231529T62462231545 node62462110050T62462110060 node62463022720T62463022676 node62463072245T62463072330 node62463188749T62463188832 node62473238255T62473238283 node62474181623T62474181695 node62462100389T62462101338 node62462239978T62463120010 node62462101209T62462101267 node62463189387T62463189482 node62474204023T62474203073 node62463000855T62463000829 node62462226602T62462226538 node62462232961T62462233819 node62474203871T62474203769 node62462221747T62462222618 node62473238221T62473238126,bird
571,208,208,2000-07-07 03:34:00,2000-07-07 03:36:00,overhead_line,18573,RandEvent,F7508,TLG,SLG-A,16,0,-102.764001566 32.992260391,node62474197221T62474197215 node62462057863T62462058873 node62463189387T62463189482 node62474204023T62474203073 node62463128092T62463188978 node62462231679T62462231679 node62463022720T62463022676 node62474211556T62474211583 node62474180317T62474180356 node62474205151T62474205022 node62462161131T62462161089 node62463188749T62463188832 node62463132895T62463133818 node62474196191T62474197105 node62474208243T62474208138 node62463129089T62463129146,bird
572,209,209,2000-07-07 08:20:00,2000-07-07 08:22:00,overhead_line,17643,RandEvent,F6537,TLG,SLG-A,5,0,-102.761746395 32.9898653582,node62463021455T62463021550 node62462235664T62462235631 node62462166430T62462166454 node62463075332T62463075357 node62462059542T62463000511,bird
573,210,210,2000-07-07 12:18:00,2000-07-07 12:20:00,overhead_line,19816,RandEvent,F6171,TLG,TLG,17,0,-102.762998533 32.9926138704,node62473238255T62473238283 node62463132482T62463132499 node62463078953T62463078922 node62473239194T62474180122 node62463130850T62463130794 node62463016038T62463016077 node62462219692T62462220516 node62463019768T62463020860 node62462239978T62463120010 node62474215045T62474214083 node62474203572T62474203566 node62463075332T62463075357 node62462100389T62462101338 node62463001766T62463001769 node62463133761T62463133761 node62463188749T62463188832 node62463079175T62463079127,bird
574,211,211,2000-07-08 11:49:00,2000-07-08 11:51:00,overhead_line,17252,RandEvent,F6171,TLG,SLG-C,7,0,-102.757757855 32.9887724481,node62462229319T62462228465 node62462168810T62462168870 node62474211556T62474211583 node62474207930T62474207936 node62474181335T62474180389 node62474146040T62474206947 node62474212215T62474212237,bird
575,212,212,2000-07-08 17:07:00,2000-07-08 17:09:00,overhead_line,16401,RandEvent,F7508,TLG,SLG-A,16,0,-102.760257679 32.9876057015,node62462229732T62462229741 node62474195268T62474196213 node62474181335T62474180389 node62474203981T62474203987 node62462057439T62462057478 node62462059542T62463000511 node62474207559T62474207612 node62474146040T62474206947 node62462236984T62462236981 node62463133761T62463133761 node62463074197T62463074165 node62473238040T62473238073 node62463133906T62463072031 node62474181623T62474181695 node62474202650T62474202681 node62474202046T62463022999,bird
576,213,213,2000-07-08 19:43:00,2000-07-08 19:44:00,overhead_line,14601,RandEvent,F6171,TLG,SLG-C,7,0,-102.760586102 32.9846425707,node62462227630T62462227535 node62463012543T62463012540 node62474180317T62474180356 node62473238255T62473238283 node62462057655T62462057695 node62463001804T62463001814 node62463022298T62463022289,bird
577,214,214,2000-07-09 12:05:00,2000-07-09 12:07:00,overhead_line,15632,RandEvent,F7508,TLG,TLG,30,0,-102.758182996 32.9871472689,node62462234942T62462233960 node62463121169T62463121197 node62474202953T62474202989 node62463186718T62463186742 node62463074975T62463014050 node62463074798T62463074775 node62463024800T62463023775 node62474203871T62474203769 node62474211556T62474211583 node62463188749T62463188832 node62463019768T62463020860 node62462172377T62462172490 node62474196319T62474196353 node62474205151T62474205022 node62463072245T62463072330 node62463016038T62463016077 node62462235664T62462235631 node62474204552T62474204575 node62462174083T62462174081 node62474202555T62474202581 node62463129089T62463129146 node62463139865T62463139950 node62462100389T62462101338 node62474202679T62474202791 node62474212215T62474212237 node62474181335T62474180389 node62463013691T62463013576 node62474202454T62474202471 node62463021692T62463021663 node62474204748T62474204749,bird
578,215,215,2000-07-09 16:44:00,2000-07-09 16:46:00,overhead_line,16882,RandEvent,F6171,TLG,TLG,17,0,-102.757803174 32.988298189,node62473238221T62473238126 node62463076992T62463076899 node62462166430T62462166454 node62463075332T62463075357 node62463186398T62463185453 node62463021692T62463021663 node62462219692T62462220516 node62474180317T62474180356 node62474202679T62474202791 node62474182499T62474182459 node62462232961T62462233819 node62463129089T62463129146 node62462058558T62462057585 node62463020936T62463020868 node62463020586T62463020670 node62473238255T62473238283 node62474205893T62474206824,bird
579,216,216,2000-07-10 19:21:00,2000-07-10 19:23:00,overhead_line,15028,RandEvent,F6171,TLG,SLG-C,7,0,-102.760553916 32.9851585837,node62474196319T62474196353 node62474197221T62474197215 node62463018993T62463018961 node62462234942T62462233960 node62463190800T62463189781 node62463021455T62463021550 node62462236984T62462236981,bird
580,217,217,2000-07-11 06:43:00,2000-07-11 06:46:00,overhead_line,18318,RandEvent,F6171,TLG,TLG,17,0,-102.76609364 32.9901693245,node62463012543T62463012540 node62474207056T62474207085 node62474202953T62474202989 node62463024844T62463025910 node62463024800T62463023775 node62462058558T62462057585 node62463001627T62463000688 node62463021167T62463021200 node62463016539T62463016634 node62463073088T62463074161 node62462166430T62462166454 node62462100205T62462100224 node62462229319T62462228465 node62473238040T62473238073 node62463020936T62463020868 node62474205893T62474206824 node62463027895T62463028953,bird
581,218,218,2000-07-11 09:00:00,2000-07-11 09:02:00,overhead_line,19136,RandEvent,F6171,TLG,TLG,17,0,-102.758175981 32.9917000002,node62462163909T62462162948 node62462221928T62462221998 node62463001804T62463001814 node62474203981T62474203987 node62462166430T62462166454 node62474196319T62474196353 node62463078953T62463078922 node62474207559T62474207612 node62474197221T62474197215 node62474195011T62474196023 node62462231529T62462231545 node62463016405T62463015557 node62463190694T62463190598 node62462226475T62462227457 node62463190800T62463189781 node62463123162T62463123126 node62474182051T62463002948,bird
582,219,219,2000-07-11 09:15:00,2000-07-11 09:17:00,overhead_line,20509,RandEvent,F7508,TLG,SLG-A,16,0,-102.764211214 32.9940308058,node62463121169T62463121197 node62462225969T62462166024 node62474181469T62474181497 node62463016405T62463015557 node62462219940T62462219856 node62474212387T62474212358 node62474205893T62474206824 node62463075194T62463075133 node62474181623T62474181695 node62474203981T62474203987 node62462057863T62462058873 node62474202679T62474202791 node62474202953T62474202989 node62462110050T62462110060 node62463017062T62463017045 node62463193561T62463193504,bird
583,220,220,2000-07-12 08:30:00,2000-07-12 08:32:00,overhead_line,17886,RandEvent,F7515,TLG,SLG-C,1,0,-102.75913803 32.9905345696,node62474207559T62474207612,bird
584,221,221,2000-07-13 04:49:00,2000-07-13 04:51:00,overhead_line,19765,RandEvent,F6171,TLG,TLG,17,0,-102.762572123 32.9924731692,node62462225969T62462166024 node62462059542T62463000511 node62474146040T62474206947 node62474207489T62474207437 node62463014628T62463014734 node62462174083T62462174081 node62474182499T62474182459 node62463074975T62463014050 node62463018228T62463018249 node62462101209T62462101267 node62474203443T62474203356 node62463189387T62463189482 node62462091125T62462091135 node62462231414T62462230473 node62462057655T62462057695 node62474207119T62474207223 node62462163909T62462162948,bird
585,222,222,2000-07-13 15:38:00,2000-07-13 15:40:00,overhead_line,16489,RandEvent,F7508,TLG,TLG,30,0,-102.759482833 32.9885068128,node62462225428T62462224580 node62462229510T62462229436 node62463074975T62463014050 node62462227630T62462227535 node62474202454T62474202471 node62462231679T62462231679 node62474207056T62474207085 node62474211060T62463031930 node62462226475T62462227457 node62474181469T62474181497 node62474197221T62474197215 node62463019058T62463019150 node62463129089T62463129146 node62462101209T62462101267 node62474211335T62474211356 node62462172377T62462172490 node62463016038T62463016077 node62474205692T62474206624 node62474203981T62474203987 node62463026977T62463026955 node62462239978T62463120010 node62463073088T62463074161 node62463022298T62463022289 node62462222990T62462222900 node62463019285T62463019253 node62462091125T62462091135 node62474181379T62474181443 node62462231414T62462230473 node62473238221T62473238126 node62474212387T62474212358,bird
586,223,223,2000-07-13 19:06:00,2000-07-13 19:08:00,overhead_line,18330,RandEvent,F6171,TLG,TLG,17,0,-102.758034788 32.9908369125,node62474203572T62474203566 node62474203443T62474203356 node62474207559T62474207612 node62474212215T62474212237 node62463019437T62463019414 node62462059793T62462059787 node62474205151T62474205022 node62463019058T62463019150 node62463030909T62474210056 node62463013691T62463013576 node62474203981T62474203987 node62474206706T62474206724 node62462234942T62462233960 node62463020586T62463020670 node62463014628T62463014734 node62474181058T62474181036 node62462225428T62462224580,bird
587,224,224,2000-07-13 20:31:00,2000-07-13 20:33:00,overhead_line,15051,RandEvent,F7508,TLG,TLG,30,0,-102.760671744 32.9858173015,node62463075332T62463075357 node62474207930T62474207936 node62474182051T62463002948 node62474209432T62474209464 node62474180317T62474180356 node62474202354T62474202362 node62463130850T62463130794 node62462059542T62463000511 node62463076992T62463076899 node62474201080T62463022938 node62463074975T62463014050 node62474202650T62474202681 node62463139865T62463139950 node62462222990T62462222900 node62462091125T62462091135 node62462172359T62462172379 node62463024844T62463025910 node62463132895T62463133818 node62463001766T62463001769 node62474203443T62474203356 node62463190694T62463190598 node62463079175T62463079127 node62463022720T62463022676 node62462059675T62463000610 node62474202147T62474202166 node62462231679T62462231679 node62463133761T62463133761 node62474204748T62474204749 node62463072245T62463072330 node62462058744T62462058764,bird
588,225,225,2000-07-14 00:18:00,2000-07-14 00:20:00,overhead_line,20881,RandEvent,F5187,TLG,TLG,30,0,-102.763563646 32.9946461381,node62474181335T62474180389 node62462057439T62462057478 node62474181623T62474181695 node62463026977T62463026955 node62462172359T62462172379 node62463133009T62463132037 node62463121169T62463121197 node62462173273T62462173272 node62462234942T62462233960 node62474196191T62474197105 node62474211060T62463031930 node62462232961T62462233819 node62474211556T62474211583 node62462161131T62462161089 node62474204990T62474204859 node62463019437T62463019414 node62462101209T62462101267 node62462091125T62462091135 node62463001627T62463000688 node62474205151T62474205022 node62474204023T62474203073 node62463022720T62463022676 node62474182051T62463002948 node62463024800T62463023775 node62474202046T62463022999 node62463076992T62463076899 node62463074197T62463074165 node62462229319T62462228465 node62474206706T62474206724 node62462178343T62462178321,bird
589,226,226,2000-07-14 21:33:00,2000-07-14 21:35:00,overhead_line,17886,RandEvent,F7508,TLG,SLG-C,5,0,-102.75913803 32.9905345696,node62474196191T62474197105 node62462174083T62462174081 node62462227630T62462227535 node62462166430T62462166454 node62474208819T62474208904,bird
590,227,227,2000-07-15 01:37:00,2000-07-15 01:39:00,overhead_line,16477,RandEvent,F7167,TLG,TLG,24,0,-102.75778853 32.9885582345,node62474207559T62474207612 node62463074798T62463074775 node62474181379T62474181443 node62463027798T62463027880 node62462058744T62462058764 node62463019058T62463019150 node62474211335T62474211356 node62474208243T62474208138 node62463018228T62463018249 node62462225969T62462166024 node62474203443T62474203356 node62463030909T62474210056 node62463132895T62463133818 node62462101209T62462101267 node62463014628T62463014734 node62463016539T62463016634 node62474215045T62474214083 node62463074197T62463074165 node62463001766T62463001769 node62463027895T62463028953 node62473239194T62474180122 node62474202454T62474202471 node62473238221T62473238126 node62474203871T62474203769,bird
591,228,228,2000-07-15 12:59:00,2000-07-15 13:01:00,overhead_line,16678,RandEvent,F5187,TLG,TLG,30,0,-102.758463752 32.9879540631,node62462231679T62462231679 node62462168493T62462169442 node62474182499T62474182459 node62463123162T62463123126 node62462170679T62462170743 node62463022298T62463022289 node62463019768T62463020860 node62473239131T62473239069 node62463014628T62463014734 node62463016038T62463016077 node62463074197T62463074165 node62463133906T62463072031 node62474203572T62474203566 node62462163909T62462162948 node62463019498T62463019467 node62462091125T62462091135 node62474209432T62474209464 node62474205692T62474206624 node62474203871T62474203769 node62474202650T62474202681 node62462169487T62462169469 node62474211556T62474211583 node62463073088T62463074161 node62474202354T62474202362 node62473238221T62473238126 node62474203443T62474203356 node62473238040T62473238073 node62462223811T62462223734 node62463001766T62463001769 node62462238928T62462237996,bird
592,229,229,2000-07-16 00:15:00,2000-07-16 00:17:00,overhead_line,19573,RandEvent,F7508,TLG,TLG,30,0,-102.761035021 32.9927997374,node62463078953T62463078922 node62463186691T62463186577 node62462231414T62462230473 node62474212387T62474212358 node62462157141T62462156117 node62462059793T62462059787 node62474180317T62474180356 node62474181058T62474181036 node62474204990T62474204859 node62474182051T62463002948 node62463000855T62463000829 node62473239131T62473239069 node62462059675T62463000610 node62463019437T62463019414 node62462057655T62462057695 node62463026977T62463026955 node62474206706T62474206724 node62462225428T62462224580 node62463018993T62463018961 node62474207489T62474207437 node62474213353T62474213347 node62462221928T62462221998 node62462219692T62462220516 node62462058915T62462058961 node62462226602T62462226538 node62474202147T62474202166 node62463025237T62463024257 node62462232691T62462232564 node62463074798T62463074775 node62463123162T62463123126,bird
593,230,230,2000-07-16 10:50:00,2000-07-16 10:52:00,overhead_line,15042,RandEvent,F6171,TLG,SLG-C,7,0,-102.760621521 32.985830427,node62474181335T62474180389 node62462157141T62462156117 node62462237962T62462237964 node62474201080T62463022938 node62463002869T62463003904 node62463019058T62463019150 node62474203443T62474203356,bird
594,231,231,2000-07-17 05:20:00,2000-07-17 05:22:00,overhead_line,18910,RandEvent,F8245,TLG,SLG-A,5,0,-102.758009808 32.9914445488,node62463018993T62463018961 node62463188749T62463188832 node62463018228T62463018249 node62462057863T62462058873 node62463016251T62463016201,bird
595,232,232,2000-07-17 12:29:00,2000-07-17 12:31:00,overhead_line,19837,RandEvent,F7508,TLG,TLG,30,0,-102.763286258 32.9926747025,node62463001804T62463001814 node62474203443T62474203356 node62474204990T62474204859 node62463132895T62463133818 node62463032835T62463032849 node62474211556T62474211583 node62463124065T62463124087 node62474204748T62474204749 node62474195151T62474196103 node62474203981T62474203987 node62463185287T62463186324 node62474212387T62474212358 node62462059542T62463000511 node62462057863T62462058873 node62462169230T62462169245 node62462219692T62462220516 node62474146040T62474206947 node62463188749T62463188832 node62463024844T62463025910 node62463019498T62463019467 node62463076992T62463076899 node62474207559T62474207612 node62463121169T62463121197 node62463019768T62463020860 node62474209432T62474209464 node62462100389T62462101338 node62462172359T62462172379 node62474208819T62474208904 node62474206893T62474207830 node62463123162T62463123126,bird
596,233,233,2000-07-18 00:39:00,2000-07-18 00:41:00,overhead_line,15631,RandEvent,F7167,TLG,TLG,24,0,-102.761107813 32.9872763963,node62462057439T62462057478 node62474181058T62474181036 node62463186691T62463186577 node62474196191T62474197105 node62474182051T62463002948 node62463019437T62463019414 node62474195268T62474196213 node62462221747T62462222618 node62462172359T62462172379 node62462174083T62462174081 node62474203572T62474203566 node62463139865T62463139950 node62462170679T62462170743 node62463074975T62463014050 node62474206532T62474206505 node62474180317T62474180356 node62463132482T62463132499 node62463024800T62463023775 node62463123162T62463123126 node62463124065T62463124087 node62474203871T62474203769 node62473238221T62473238126 node62474213353T62474213347 node62462231529T62462231545,bird
597,234,234,2000-07-18 18:56:00,2000-07-18 18:58:00,overhead_line,19521,RandEvent,F6171,TLG,SLG-C,7,0,-102.759966134 32.9921878927,node62474204990T62474204859 node62463021692T62463021663 node62462100389T62462101338 node62463017349T62463017451 node62462172377T62462172490 node62463128092T62463188978 node62463030909T62474210056,human
598,235,235,2000-07-18 22:16:00,2000-07-18 22:18:00,overhead_line,19089,RandEvent,F7167,TLG,TLG,24,0,-102.760226251 32.9916129084,node62462157141T62462156117 node62463020936T62463020868 node62462057439T62462057478 node62474207930T62474207936 node62462226602T62462226538 node62474144036T62474204979 node62474202679T62474202791 node62463132482T62463132499 node62463001766T62463001769 node62463021692T62463021663 node62474202953T62474202989 node62463019285T62463019253 node62474181623T62474181695 node62474202046T62463022999 node62462229510T62462229436 node62474205893T62474206824 node62463079175T62463079127 node62463185287T62463186324 node62474196319T62474196353 node62463190694T62463190598 node62474195011T62474196023 node62462172359T62462172379 node62463000855T62463000829 node62463013707T62463013737,human
599,236,236,2000-07-19 09:01:00,2000-07-19 09:03:00,overhead_line,17106,RandEvent,,TLG,None,0,0,-102.758826239 32.9891975266,,
600,237,237,2000-07-19 08:19:00,2000-07-19 08:21:00,overhead_line,16194,RandEvent,F5187,TLG,TLG,30,0,-102.76092375 32.9873275634,node62463022298T62463022289 node62462226475T62462227457 node62463186398T62463185453 node62463133761T62463133761 node62462170679T62462170743 node62474204748T62474204749 node62462219940T62462219856 node62463079175T62463079127 node62462057655T62462057695 node62474195151T62474196103 node62463018503T62463017479 node62462235664T62462235631 node62463028401T62463028430 node62463000855T62463000829 node62462157141T62462156117 node62474205893T62474206824 node62462057439T62462057478 node62463073088T62463074161 node62474202354T62474202362 node62462231529T62462231545 node62462058915T62462058961 node62462161131T62462161089 node62474204990T62474204859 node62474207119T62474207223 node62474203443T62474203356 node62462058744T62462058764 node62463074975T62463014050 node62463074798T62463074775 node62474205692T62474206624 node62474207056T62474207085,human
601,238,238,2000-07-19 12:21:00,2000-07-19 12:23:00,overhead_line,16209,RandEvent,F7508,TLG,TLG,30,0,-102.760819715 32.9875210175,node62463018993T62463018961 node62463019437T62463019414 node62474205893T62474206824 node62462059793T62462059787 node62463021692T62463021663 node62463027798T62463027880 node62474195011T62474196023 node62474202046T62463022999 node62463019498T62463019467 node62474181469T62474181497 node62463000855T62463000829 node62474206893T62474207830 node62474144036T62474204979 node62463128092T62463188978 node62463016539T62463016634 node62462231529T62462231545 node62462227630T62462227535 node62463121169T62463121197 node62462231679T62462231679 node62474212215T62474212237 node62462161131T62462161089 node62474207489T62474207437 node62462057655T62462057695 node62474202555T62474202581 node62463018228T62463018249 node62474204990T62474204859 node62462170679T62462170743 node62463016038T62463016077 node62463019768T62463020860 node62463028401T62463028430,human
602,239,239,2000-07-19 17:00:00,2000-07-19 17:02:00,overhead_line,68298,RandEvent,F6537,TLG,SLG-A,5,0,-102.763673593 32.9949362669,node62463021455T62463021550 node62474182629T62474182678 node62474204023T62474203073 node62462059542T62463000511 node62462058915T62462058961,human
603,240,240,2000-07-19 17:32:00,2000-07-19 17:34:00,overhead_line,17146,RandEvent,F7508,TLG,TLG,30,0,-102.757940424 32.988718056,node62462239978T62463120010 node62474195011T62474196023 node62462058558T62462057585 node62474181058T62474181036 node62474202953T62474202989 node62473238221T62473238126 node62463190694T62463190598 node62462234942T62462233960 node62474197221T62474197215 node62463019285T62463019253 node62462059793T62462059787 node62463017349T62463017451 node62463130850T62463130794 node62462219692T62462220516 node62463075194T62463075133 node62474207930T62474207936 node62462174083T62462174081 node62463128092T62463188978 node62474215045T62474214083 node62462100389T62462101338 node62462157141T62462156117 node62463018228T62463018249 node62462231414T62462230473 node62463027895T62463028953 node62463017062T62463017045 node62474202046T62463022999 node62462221928T62462221998 node62474209432T62474209464 node62463129089T62463129146 node62474202679T62474202791,human
604,241,241,2000-07-19 20:52:00,2000-07-19 20:54:00,overhead_line,17654,RandEvent,F5187,TLG,SLG-B,8,0,-102.758746817 32.9897810287,node62474181379T62474181443 node62474202258T62474202360 node62473239131T62473239069 node62474212387T62474212358 node62463076992T62463076899 node62463074197T62463074165 node62463025237T62463024257 node62474206893T62474207830,human
605,242,242,2000-07-20 00:28:00,2000-07-20 00:30:00,overhead_line,17699,RandEvent,F7508,TLG,SLG-A,16,0,-102.761033475 32.9896732474,node62474204371T62474204354 node62462229510T62462229436 node62463022298T62463022289 node62462239978T62463120010 node62462225428T62462224580 node62462172377T62462172490 node62463133761T62463133761 node62462169230T62462169245 node62463019058T62463019150 node62463020586T62463020670 node62474197221T62474197215 node62462234942T62462233960 node62462161131T62462161089 node62462229732T62462229741 node62474212387T62474212358 node62463072245T62463072330,human
606,243,243,2000-07-20 00:29:00,2000-07-20 00:31:00,overhead_line,18573,RandEvent,F7508,TLG,DLG-BC,14,0,-102.764001566 32.992260391,node62474207119T62474207223 node62462168493T62462169442 node62462235664T62462235631 node62462223811T62462223734 node62474195268T62474196213 node62463129089T62463129146 node62462059542T62463000511 node62463019437T62463019414 node62462058744T62462058764 node62463186398T62463185453 node62463018228T62463018249 node62474208819T62474208904 node62473239131T62473239069 node62463072245T62463072330,human
607,244,244,2000-07-20 00:55:00,2000-07-20 00:57:00,overhead_line,16564,RandEvent,F5552,TLG,TLG,1,0,-102.759743657 32.9892696545,node62462168810T62462168870,human
608,245,245,2000-07-20 07:55:00,2000-07-20 07:57:00,overhead_line,20758,RandEvent,F7508,TLG,SLG-A,16,0,-102.764981819 32.9944374422,node62474181058T62474181036 node62474182051T62463002948 node62474181335T62474180389 node62462101209T62462101267 node62474196191T62474197105 node62463013707T62463013737 node62462057439T62462057478 node62463075194T62463075133 node62463186398T62463185453 node62474204552T62474204575 node62463001627T62463000688 node62462238928T62462237996 node62463019437T62463019414 node62462232961T62462233819 node62474207119T62474207223 node62463017349T62463017451,human
609,246,246,2000-07-20 12:54:00,2000-07-20 12:56:00,overhead_line,20865,RandEvent,F7508,TLG,DLG-BC,14,0,-102.764827369 32.9945595267,node62462173273T62462173272 node62463001627T62463000688 node62463188901T62463187888 node62474206706T62474206724 node62474204552T62474204575 node62462057655T62462057695 node62462232961T62462233819 node62463000855T62463000829 node62462059542T62463000511 node62462227630T62462227535 node62463016038T62463016077 node62463019498T62463019467 node62462178343T62462178321 node62463019768T62463020860,human
